rank,node,score
1,x51,0.808018219758
2,Stream 12,0.640982732895
3,Reactor,0.569288035658
4,x21,0.502060317841
5,Cooling Water,0.497673401263
6,x9,0.421394749335
7,x8,0.391477973035
8,x7,0.378668326441
9,Stream 6,0.371100498712
10,Stream 2,0.262354979908
11,Stream 3,0.256163058168
12,Stream 8,0.253944490522
13,Stream 5,0.253431375121
14,x6,0.243160378847
15,Compressor,0.241523984977
16,x46,0.238801181481
17,x2,0.237046480378
18,x42,0.235652426023
19,Stream 1,0.230952713132
20,x24,0.22025831313
21,x3,0.220053663607
22,x25,0.218920749977
23,x28,0.217531356969
24,x5,0.216744407385
25,x27,0.214813603824
