rank,node,score
1,x4,0.557494521645
2,Stream 4,0.553104718136
3,x45,0.548231687522
4,x50,0.498943598535
5,Stream 10,0.4776125801
6,Stripper Steam,0.466035696674
7,Steam,0.465550365582
8,x16,0.457583703421
9,x19,0.448619129088
10,Stripper,0.425995069922
11,x20,0.412004531913
12,x18,0.411892827467
13,Separator,0.410719596162
14,C,0.406050913635
15,x48,0.402106082872
16,Stream 14,0.399016145686
17,G,0.387361198967
18,x13,0.380955111444
19,x38,0.379043979242
20,x11,0.367104865551
21,x15,0.363218010038
22,x31,0.360179215174
23,F,0.357728438686
24,x12,0.356507065099
25,E,0.356359739002
