rank,node,score
1,Stream 14,0.610386595627
2,Separator,0.56627472575
3,Stream 7,0.51475855865
4,Condenser,0.470121161926
5,Stream 6,0.424389390369
6,Stream 10,0.422695519991
7,Stream 5,0.406522008779
8,Stream 4,0.402997780238
9,Stream 9,0.392257730153
10,Stream 8,0.390679258643
