rank,node,score
1,x11,0.641279269654
2,Stream 14,0.610386595627
3,Separator,0.56627472575
4,x13,0.530929342991
5,x12,0.518519244252
6,Stream 7,0.51475855865
7,x48,0.514162572753
8,x38,0.498640735972
9,G,0.478942168265
10,E,0.474548985102
11,H,0.472535859238
12,D,0.472453882656
13,C,0.470243604965
14,Condenser,0.470121161926
15,B,0.460741237953
16,F,0.458836678353
17,x14,0.436921955986
18,A,0.429921168986
19,Stream 6,0.424389390369
20,x35,0.424030593719
21,Stream 10,0.422695519991
22,x4,0.42190214088
23,Stream 5,0.406522008779
24,Stream 4,0.402997780238
25,Stream 9,0.392257730153
