rank,node,score
1,x11,0.0987279583939
2,x38,0.0627987753271
3,x35,0.0558718030083
4,x4,0.0490914623036
5,x22,0.0429286940207
6,x14,0.0418310335477
7,x45,0.0396101107845
8,x9,0.0342833190584
9,x18,0.0269519547924
10,x8,0.0268963916914
11,x36,0.0267324952709
12,x16,0.0255198693369
13,x6,0.0249315896002
14,x37,0.0244220259292
15,x51,0.0214408840807
16,x21,0.0209945221672
17,x5,0.0208809358713
18,x41,0.0198504959511
19,x34,0.0178802991586
20,x39,0.0167376916346
21,x32,0.0166912093046
22,x3,0.0163610374277
23,x33,0.0161333844541
24,x40,0.0151353294509
25,x31,0.0145642999382
26,x24,0.0140177703072
27,x43,0.0135988697571
28,x19,0.0132849713857
29,x30,0.012544016606
30,x25,0.0125357668949
31,x20,0.0122241738017
32,x27,0.0118507826444
33,x29,0.0118359429723
34,x42,0.011065521981
35,x23,0.0107623290641
36,x26,0.0106610403455
37,x2,0.0102856246216
38,x7,0.00955302425775
39,x28,0.00885296306867
40,x46,0.00865729883691
41,x13,0.00841808413263
42,x44,0.00751826247683
43,x1,0.00716486357381
44,x50,0.00714605470562
45,x10,0.00595594817009
46,x47,0.00382848201431
47,x52,0.00236115095765
48,x17,0.00220770203946
49,x12,0.00172805179545
50,x48,0.00172742716408
51,x49,0.00147341371822
52,x15,0.00147289020289
