rank,node,score
1,x1,0.272490020497
2,x44,0.160213501496
3,x20,0.0747887636375
4,x16,0.0632068057148
5,x19,0.0500401027555
6,x50,0.043791437534
7,x31,0.0305045036133
8,x6,0.0257635192974
9,x29,0.0254943800395
10,x7,0.0236069638073
11,x46,0.0223258370246
12,x21,0.0222508282193
13,x11,0.0212147091851
14,x38,0.0197209862174
15,x13,0.0179630549167
16,x3,0.0147356990832
17,x18,0.0109895863074
18,x4,0.00928632240321
19,x45,0.00907475435637
20,x22,0.00860083505979
21,x34,0.00838090303442
22,x30,0.00709424369514
23,x37,0.0051773269177
24,x9,0.00486623134831
25,x26,0.0045784471886
26,x39,0.0044271451216
27,x33,0.00356422813735
28,x5,0.00342443058505
29,x23,0.00327426660996
30,x8,0.00312135436029
31,x32,0.00305296439771
32,x24,0.00267079283602
33,x47,0.00215104152246
34,x42,0.00198888943333
35,x40,0.00188457289037
36,x25,0.00168575357571
37,x41,0.00157346964368
38,x10,0.00155391995175
39,x36,0.00138638121123
40,x27,0.00121706734662
41,x35,0.00119039887987
42,x14,0.000964846519863
43,x51,0.000928592044325
44,x52,0.000913094621798
45,x43,0.000900292363443
46,x2,0.000699966043356
47,x28,0.000529831047171
48,x17,0.0003265645366
49,x48,0.000148748283202
50,x12,0.000148714779482
51,x49,5.64830103611e-05
52,x15,5.64268974773e-05
