rank,node,score
1,Stream 12,0.733248528963
2,Reactor,0.592492626652
3,Stream 6,0.238461596174
4,Stream 5,0.215282172277
5,Stream 2,0.21134558739
6,Stream 3,0.192444908771
7,Stream 1,0.174631077315
8,Stream 8,0.16686575205
9,Stream 7,0.162993937649
10,Compressor,0.149102574981
