rank,node,score
1,x51,0.470824764586
2,x9,0.0386232376385
3,x21,0.0336819835488
4,x2,0.0234704431969
5,x11,0.0231328931122
6,x22,0.0223442243888
7,x42,0.021982798676
8,x29,0.0177636357286
9,x3,0.0161849172325
10,x4,0.0156140860362
11,x30,0.0151535572226
12,x28,0.0150874588657
13,x24,0.0150509395297
14,x45,0.0146372210532
15,x14,0.0145955476564
16,x8,0.0137958960692
17,x25,0.0130633683515
18,x35,0.012668610098
19,x34,0.0124570378471
20,x39,0.0121830296261
21,x38,0.011324720756
22,x6,0.0106917657716
23,x5,0.0104085484669
24,x36,0.0102597575022
25,x43,0.0101668506882
26,x26,0.0100491505039
27,x32,0.00971878418152
28,x31,0.00925210601148
29,x37,0.00898168797162
30,x40,0.00862721614229
31,x27,0.00834223292804
32,x23,0.00721151087383
33,x33,0.00702270470828
34,x41,0.00687289803276
35,x10,0.00380594228299
36,x44,0.00351766342117
37,x12,0.00350320808455
38,x48,0.00350299621497
39,x1,0.00349840522902
40,x47,0.00344886612664
41,x46,0.00334223663456
42,x19,0.00304893103275
43,x20,0.00296203705264
44,x50,0.00280088780468
45,x16,0.0025815535901
46,x15,0.00232516117763
47,x49,0.00232506363363
48,x18,0.00209335031425
49,x17,0.00172792797724
50,x52,0.00151232462502
51,x7,0.00142868384135
52,x13,0.00132917595402
