rank,node,score
1,x1,0.264181717316
2,x44,0.146563920286
3,x20,0.083897200398
4,x16,0.0671224448645
5,x19,0.0611907404235
6,x50,0.0536243081829
7,x31,0.0520849275159
8,x46,0.0318653522865
9,x29,0.0289795217233
10,x7,0.0214009126697
11,x11,0.0206306700816
12,x18,0.0187830418012
13,x22,0.0155251349821
14,x13,0.01542151576
15,x23,0.0154021495911
16,x21,0.0136274738552
17,x35,0.00892273467031
18,x3,0.0086094889318
19,x25,0.00762889988316
20,x30,0.00639809742468
21,x38,0.00590809420353
22,x4,0.00577361359486
23,x33,0.00438221260235
24,x42,0.00437624347133
25,x32,0.00321221927175
26,x51,0.00291135231293
27,x41,0.00286468850886
28,x2,0.00233230533384
29,x24,0.00230719003878
30,x45,0.00189524649189
31,x5,0.0018662891607
32,x37,0.00183794893354
33,x14,0.00178535704709
34,x47,0.00155339113422
35,x28,0.0014963626849
36,x6,0.00147973450264
37,x36,0.00146604039292
38,x10,0.00131563019058
39,x39,0.00124845581173
40,x8,0.00115826651694
41,x26,0.00115053397881
42,x27,0.0010554514421
43,x52,0.00103563704527
44,x34,0.000904347925786
45,x43,0.000845991912836
46,x9,0.000646202298319
47,x40,0.000479411379545
48,x17,0.000423284276159
49,x15,0.000135515991621
50,x49,0.000135328307828
51,x48,7.87037482024e-05
52,x12,7.86968401471e-05
