rank,node,score
1,x42,0.416714506354
2,x2,0.413958724179
3,Stream 2,0.405070015609
4,Condenser,0.363257951933
5,Stream 4,0.363246060007
6,x25,0.36314838401
7,Stripper,0.36207015712
8,Separator,0.359646311491
9,D,0.358192011364
10,x24,0.355855019249
11,B,0.349584684426
12,Stream 14,0.349383631168
13,x4,0.348840722557
14,x45,0.348161408628
15,Stream 6,0.346879553603
16,x23,0.346709632205
17,A,0.345687152828
18,Stream 3,0.338465544456
19,Stream 11,0.33666830853
20,x49,0.336523711673
21,x48,0.335188431111
22,x37,0.335081412821
23,Stream 5,0.334753391869
24,x5,0.332787926195
25,x11,0.331720071183
