rank,node,score
1,x51::high,0.999237856655
2,x16::high,0.781763245262
3,x7::high,0.770605863849
4,x13::high,0.761702536034
5,x25::high,0.656613021726
6,x11::low,0.643788361818
7,x31::high,0.629462179407
8,x35::low,0.602811656706
9,x46::high,0.523881377281
10,x18::low,0.44241677542
11,x20::high,0.432302113254
12,x29::low,0.389499786226
13,x33::low,0.381620944605
14,x36::low,0.348840728449
15,x47::low,0.346452905459
16,x3::high,0.336386298769
17,x10::low,0.324853904355
18,x50::low,0.297896456716
19,x24::low,0.291608769035
20,x44::low,0.270923024391
21,x1::low,0.26413098583
22,x19::low,0.217372047297
23,x38::low,0.201762172479
24,x22::low,0.198596938228
25,x27::low,0.195698505256
