rank,node,score
1,x16::high,0.998623445376
2,x7::high,0.99601147248
3,x13::high,0.994701601942
4,x10::high,0.980185437539
5,x47::high,0.972535310123
6,x11::low,0.933328889946
7,x30::high,0.901042229875
8,x31::high,0.900865353645
9,x34::low,0.886369667688
10,x29::low,0.873609681943
11,x18::low,0.869388327377
12,x25::high,0.852331124824
13,x35::low,0.815019288698
14,x24::high,0.777963898969
15,x23::low,0.731277584827
16,x3::high,0.729747200242
17,x28::low,0.717505169183
18,x50::low,0.660894673062
19,x43::high,0.658063166529
20,x33::low,0.624734874876
21,x27::low,0.619091262546
22,x46::high,0.596086804668
23,x19::low,0.577429652789
24,x36::low,0.564880381398
25,x1::high,0.526582816556
