rank,node,score
1,x16::high,0.999999999998
2,x44::high,0.999999999963
3,x7::high,0.999999993017
4,x31::high,0.999999991906
5,x29::low,0.999999962423
6,x13::high,0.999999959419
7,x20::low,0.999999938763
8,x25::high,0.99999910806
9,x23::low,0.99999728755
10,x11::low,0.999966309571
11,x1::low,0.999849649014
12,x46::low,0.999593055759
13,x19::high,0.999547048942
14,x35::low,0.999168257994
15,x50::high,0.998452463188
16,x22::low,0.997024780955
17,x21::high,0.996462552776
18,x10::low,0.992842079636
19,x36::low,0.98949963541
20,x38::high,0.988288087018
21,x47::low,0.982156048776
22,x34::low,0.972121709647
23,x51::low,0.944963997471
24,x30::low,0.910888044867
25,x3::low,0.907523269172
