rank,node,score
1,x9,0.339671124737
2,x52,0.294251231541
3,x50,0.294072748174
4,x19,0.293908158215
5,x21,0.293147896898
6,x16,0.292970764629
7,x7,0.289604035188
8,x49,0.289484390612
9,x2,0.282787455472
10,x42,0.281947409073
