rank,node,score
1,x7::low,0.543166407549
2,x13::low,0.542538980319
3,x46::low,0.52112923611
4,x20::low,0.495642380709
5,x16::low,0.48338439875
6,x11::high,0.463507356445
7,x33::high,0.454226166858
8,x18::high,0.417403039223
9,x41::low,0.354758145489
10,x29::low,0.351938755766
11,x31::low,0.307574351997
12,x50::high,0.296594935629
13,x32::high,0.292124343901
14,x19::high,0.282044101025
15,x39::high,0.255060947585
16,x43::low,0.255011677916
17,x40::high,0.245267470771
18,x38::low,0.234899270125
19,x34::high,0.232927795724
20,x35::high,0.225398986475
21,x37::high,0.200141840564
22,x3::low,0.199877628353
23,x36::high,0.194889516846
24,x22::high,0.190492698272
25,x42::high,0.188249410349
