rank,node,score
1,Stream 1,0.395325119245
2,x1,0.315259190068
3,x44,0.312843051152
4,Stream 4,0.262341186395
5,x23,0.24906032688
6,x25,0.245123684292
7,x19,0.232390863795
8,x24,0.226311942874
9,x29,0.221179502206
10,Stream 8,0.220261411854
11,x50,0.219834542439
12,Stream 6,0.21562513231
13,A,0.215311827588
14,Separator,0.208551170271
15,x46,0.206799253936
16,D,0.20597194334
17,Stripper Steam,0.205087553461
18,x2,0.204378076422
19,x47,0.203553028466
20,F,0.202839253725
21,x42,0.202830603813
22,x52,0.201986921106
23,Condenser,0.201584161264
24,C,0.201470845605
25,x5,0.200498642803
