rank,node,score
1,x24,0.385106887744
2,Stream 4,0.384435408159
3,x25,0.332932281607
4,B,0.331006156125
5,x4,0.325697153579
6,x30,0.32305869581
7,x23,0.319448510936
8,x45,0.315885669966
9,Stream 2,0.308543673438
10,x52,0.301379952739
11,Stream 5,0.300424141216
12,Stream 3,0.300028158444
13,Stream 13,0.298230308774
14,Stream 7,0.295938884536
15,x28,0.289515058498
16,Stream 8,0.284619550764
17,Condenser,0.280269918423
18,A,0.279157966888
19,Stream 14,0.276837474912
20,F,0.276275156419
21,D,0.272097408043
22,Stream 6,0.269508095454
23,x22,0.269056477418
24,x32,0.267826300377
25,x27,0.26108089568
