rank,node,score
1,Stream 4,0.295667280237
2,x45,0.29562261389
3,x4,0.295418072914
4,x25,0.245353583686
5,x23,0.24526331642
6,x19,0.245140470194
7,x50,0.244923522873
8,x44,0.243757838865
9,Stripper Steam,0.235855343178
10,Stream 8,0.233221072439
11,x29,0.226828315391
12,Stream 6,0.224151769297
13,x1,0.221465193296
14,C,0.220478824622
15,A,0.219723025046
16,x46,0.219284333346
17,x18,0.219074701937
18,Stripper,0.217534491466
19,x24,0.21654888359
20,Stream 3,0.216000191124
21,Stream 1,0.215748580708
22,Stream 2,0.211125575151
23,x2,0.209933131762
24,Separator,0.209806211066
25,x5,0.209079452895
