rank,node,score
1,x19::high,0.834472339702
2,x50::high,0.826187655171
3,x18::high,0.756124007156
4,x31::low,0.425900236327
5,x34::high,0.423397646809
6,x8::high,0.396561509981
7,x37::high,0.375182228779
8,x24::high,0.355362334699
9,x25::low,0.309646326946
10,x28::high,0.301417342847
11,x16::high,0.300360095638
12,x11::low,0.245389037377
13,x7::high,0.227846229345
14,x13::high,0.208999171166
15,x35::low,0.198250698601
16,x17::high,0.193318978368
17,x10::low,0.187064402097
18,x27::high,0.184607020159
19,x3::low,0.183091998321
20,x47::low,0.180700322599
21,x52::low,0.162890438382
22,x22::low,0.159383716641
23,x30::high,0.156247923746
24,x41::high,0.133595402859
25,x42::low,0.130920523688
