rank,node,score
1,x51::high,0.457859284806
2,x16::high,0.426857572495
3,x7::high,0.326786556925
4,x34::high,0.325832439783
5,x9::high,0.319011878491
6,x29::low,0.313685070953
7,x37::high,0.30815706817
8,x35::low,0.300832499845
9,x13::high,0.297769422692
10,x11::low,0.294834771759
11,x30::high,0.291516314338
12,x32::high,0.282149372589
13,x41::low,0.262424339305
14,x20::low,0.239772952232
15,x36::low,0.198973093674
16,x25::high,0.196016949451
17,x46::low,0.169213909424
18,x17::high,0.163391981464
19,x22::low,0.161716775304
20,x18::low,0.161556307892
21,x1::high,0.148015689229
22,x31::high,0.147064465155
23,x44::high,0.140824768759
24,x52::low,0.130929845745
25,x47::high,0.119960739197
