rank,node,score
1,x52,0.355390573904
2,Stream 13,0.339902624259
3,x22,0.323643237534
4,Condenser,0.31761690304
5,Stream 14,0.267865251979
6,Stream 7,0.267759479088
7,Stream 2,0.267371326126
8,D,0.267232554123
9,Stripper,0.266323648767
10,x24,0.26501302332
11,x48,0.264302866006
12,Stream 4,0.26072446536
13,Stream 3,0.260600847248
14,x49,0.259707966226
15,x19,0.258035126579
16,x50,0.257299373492
17,x42,0.255834555556
18,x2,0.255423864364
19,Separator,0.252459196033
20,x23,0.251902946976
21,G,0.250479640614
22,x11,0.249665007214
23,B,0.24741737099
24,x25,0.246631583411
25,Stream 8,0.245554559773
