rank,node,score
1,Stream 4,0.35384965487
2,x25,0.34995477532
3,Stream 2,0.345051023489
4,x45,0.344933364669
5,x4,0.344851427789
6,x24,0.331851489795
7,Stripper,0.324942189368
8,x19,0.324777114114
9,Stream 3,0.323545968294
10,Stream 8,0.323016976289
11,Compressor,0.322865978294
12,x42,0.320942801009
13,B,0.320782476626
14,x2,0.320292662827
15,A,0.317970415723
16,C,0.314149931189
17,x50,0.313994516391
18,Stream 6,0.312112233089
19,Stream 5,0.311564035117
20,x23,0.311240763698
21,Stream 7,0.307158757912
22,Stream 14,0.303152203269
23,D,0.301659238896
24,Stripper Steam,0.299647067751
25,x32,0.293740993342
