rank,node,score
1,x16::low,0.98961005376
2,x19::low,0.983676485177
3,x7::low,0.977597503484
4,x13::low,0.971987269219
5,x50::low,0.96786069075
6,x38::low,0.921399260305
7,x11::high,0.869830664602
8,x36::high,0.853931379627
9,x18::low,0.84927928811
10,x3::high,0.839833985693
11,x50::fall,0.812592157418
12,x43::high,0.805193625125
13,x33::low,0.770060521792
14,x35::high,0.742180924745
15,x22::high,0.741235904776
16,x27::low,0.711934443805
17,x18::fall,0.682242888338
18,x42::low,0.663265075414
19,x2::low,0.616151584567
20,x10::high,0.612089840251
21,x47::high,0.61169708739
22,x32::high,0.607997296997
23,x19::fall,0.603231410742
24,x41::high,0.576798993776
25,x40::low,0.530834657683
