rank,node,score
1,x7::high,0.478035905995
2,x16::high,0.475853362168
3,x13::high,0.470727611002
4,x11::low,0.341176411394
5,x36::low,0.332378733326
6,x39::low,0.328442994648
7,x31::high,0.316005483442
8,x35::low,0.301558007622
9,x46::high,0.293878133629
10,x25::high,0.273128348136
11,x38::high,0.270398682101
12,x41::low,0.267538829428
13,x34::high,0.246838729017
14,x3::high,0.235698379506
15,x29::low,0.228406224044
16,x20::high,0.216234660027
17,x50::rise,0.208371392516
18,x51::high,0.207827735265
19,x42::low,0.201429522705
20,x43::high,0.188133065414
21,x21::low,0.185229730887
22,x18::low,0.180819476797
23,x27::low,0.175381341614
24,x47::low,0.168236470426
25,x22::low,0.166229160914
