rank,node,score
1,x38::high,0.694667165079
2,x19::high,0.691307800827
3,x50::high,0.680642175779
4,x50::rise,0.48598828216
5,x20::low,0.462573922444
6,x11::low,0.426226034697
7,x29::low,0.418256498317
8,x46::low,0.406056560004
9,x33::high,0.405913388273
10,x52::low,0.4047981491
11,x18::high,0.389698995177
12,x22::low,0.35241754376
13,x1::high,0.324780370918
14,x4::high,0.321057730086
15,x44::high,0.320691718774
16,x21::low,0.282790155596
17,x19::rise,0.280579199835
18,x6::high,0.264157991553
19,x32::high,0.263463294663
20,x8::low,0.263312670649
21,x3::low,0.241976356957
22,x16::high,0.241931077546
23,x20::rise,0.236417702731
24,x18::rise,0.230634960344
25,x37::high,0.221519510737
