rank,node,score
1,Stream 4,0.371702596184
2,x24,0.355094604498
3,x23,0.328056163562
4,x25,0.327613754309
5,x4,0.277345713727
6,B,0.277289772924
7,A,0.277246879751
8,x29,0.27722326928
9,Compressor,0.277214787132
10,x45,0.276703513963
11,Stream 2,0.276631874057
12,Stream 1,0.275308484443
13,x30,0.272748934916
14,C,0.271100595099
15,Stream 6,0.266788927712
16,Stream 5,0.262803552732
17,Stream 3,0.261414660535
18,Separator,0.261289527967
19,Stripper,0.2592325145
20,Stream 14,0.258959554291
21,Condenser,0.256872708969
22,D,0.25665981528
23,x11,0.25470929477
24,F,0.252308944513
25,x28,0.242517940794
