rank,node,score
1,x1::high,0.999999988259
2,x44::high,0.999999986871
3,x50::high,0.999993327042
4,x19::high,0.999953684648
5,x18::high,0.999738425239
6,x16::high,0.999657330219
7,x4::low,0.999302352808
8,x29::low,0.997753501053
9,x20::low,0.997733243716
10,x31::high,0.995788544791
11,x7::high,0.995069328695
12,x13::high,0.991345962615
13,x23::low,0.988489386614
14,x38::high,0.985092305229
15,x25::high,0.980536140863
16,x11::low,0.970482499747
17,x45::low,0.962538582832
18,x46::low,0.954323357096
19,x35::low,0.941037437669
20,x50::rise,0.911215076708
21,x22::low,0.903287762799
22,x21::high,0.847904334128
23,x3::low,0.834372884451
24,x10::low,0.830418292213
25,x43::low,0.806164948726
