rank,node,score
1,x9,0.339671124737
2,Reactor,0.31260870375
3,x52,0.294251231541
4,Stripper,0.294139431021
5,x50,0.294072748174
6,x19,0.293908158215
7,Stream 13,0.293836811902
8,x21,0.293147896898
9,x16,0.292970764629
10,Condenser,0.29181409393
11,x7,0.289604035188
12,x49,0.289484390612
13,x2,0.282787455472
14,x42,0.281947409073
15,Stream 3,0.279600715407
16,Steam,0.278634601316
17,Stream 14,0.275245114732
18,x15,0.275170246955
19,x48,0.272963212709
20,D,0.272508945876
21,Stripper Steam,0.270760392284
22,Stream 2,0.269843313274
23,x22,0.269501113845
24,Stream 7,0.26663205834
25,x24,0.266240393276
