rank,node,score
1,x2,0.399989433576
2,x42,0.399981351667
3,Stream 2,0.396736711794
4,Stripper,0.349297925096
5,Stream 4,0.349091548176
6,x49,0.34826884576
7,x37,0.347521705557
8,x41,0.34676385218
9,Stream 11,0.344422169382
10,x4,0.342802565809
11,x45,0.34174606112
12,D,0.340970093795
13,A,0.335905861849
14,x26,0.333559424231
15,Stream 14,0.332299470683
16,Stream 8,0.328696192997
17,Stream 6,0.328429688714
18,B,0.328120521154
19,x46,0.32761319348
20,Stream 3,0.325186106259
21,Separator,0.32234358809
22,x23,0.32074266165
23,Stream 5,0.318987605048
24,x24,0.318693228547
25,Condenser,0.31807241153
