rank,node,score
1,x31::low,0.485447983877
2,x35::high,0.463483295808
3,x16::low,0.443403421965
4,x11::high,0.44190475824
5,x7::low,0.425069400986
6,x13::low,0.41767865718
7,x46::low,0.365051666485
8,x41::low,0.33088773114
9,x43::low,0.327352911702
10,x25::low,0.300453523282
11,x32::high,0.296145864438
12,x36::high,0.250962056
13,x40::high,0.210650078559
14,x18::high,0.205700920854
15,x30::low,0.197525956298
16,x22::high,0.190427482836
17,x3::low,0.190124128337
18,x20::low,0.189464096809
19,x37::high,0.183397248455
20,x4::high,0.18159623567
21,x33::high,0.170886592603
22,x28::high,0.161315565804
23,x42::high,0.144531470573
24,x44::low,0.136161155383
25,x29::high,0.135991665638
