rank,node,score
1,Stream 12,0.604200601744
2,x51,0.499749090792
3,Reactor,0.398137414877
4,x21,0.345931832199
5,Cooling Water,0.294658185533
6,x9,0.258067547028
7,x11,0.176580761685
8,Separator,0.163957120164
9,x25,0.160044424547
10,x8,0.159611759265
11,Condenser,0.154531525661
12,x48,0.150645289375
13,Stream 4,0.149356808852
14,x12,0.14880538065
15,x29,0.148330931919
16,Stream 13,0.148010420285
17,x7,0.146973648231
18,x52,0.142834681704
19,Stream 14,0.139526532425
20,Stream 2,0.134314773737
21,C,0.134232040147
22,x42,0.134107239705
23,x35,0.133303976514
24,x2,0.132933495255
25,x23,0.132850297385
