rank,node,score
1,x21::low,0.999999999998
2,x51::high,0.993207049724
3,x7::high,0.646084990352
4,x16::high,0.639404931267
5,x13::high,0.637951515605
6,x11::low,0.531255076432
7,x25::high,0.518284863687
8,x31::high,0.495521973866
9,x46::high,0.476243215515
10,x10::low,0.446061766059
11,x18::low,0.445424454764
12,x47::low,0.442678902783
13,x33::low,0.426551037551
14,x35::low,0.419888846498
15,x50::low,0.400713968649
16,x20::high,0.389860309276
17,x19::low,0.364144636115
18,x38::low,0.300106872338
19,x36::low,0.285462655263
20,x27::low,0.279798764999
21,x50::fall,0.249487163844
22,x18::fall,0.238810684895
23,x37::high,0.223742557394
24,x34::high,0.208807680089
25,x8::high,0.181114726216
