rank,node,score
1,Stream 12,0.554620937935
2,x51,0.480546474917
3,Reactor,0.432816239635
4,x21,0.359019547397
5,Cooling Water,0.308927218459
6,x9,0.308859097354
7,x2,0.229783547644
8,x42,0.227330093381
9,Condenser,0.222192963722
10,Separator,0.214912751805
11,Stream 2,0.213534988028
12,Stream 13,0.21194623801
13,x4,0.211355056902
14,x11,0.210983597209
15,Stripper,0.209609845618
16,x45,0.208731629235
17,Stream 4,0.208409538633
18,x52,0.205707435496
19,x48,0.198837059541
20,D,0.192387000058
21,x8,0.192167642616
22,x29,0.192118249722
23,A,0.191472037736
24,x49,0.189314115842
25,Stream 14,0.189310839987
