rank,node,score
1,Compressor,0.35934483406
2,Stream 8,0.358384375064
3,Stream 13,0.308379188657
4,Separator,0.305912853738
5,Stream 4,0.297029018134
6,Stream 2,0.294993409892
7,Stream 14,0.288079743293
8,Stream 5,0.269260719906
9,Condenser,0.268439829578
10,Stripper,0.266578181005
