rank,node,score
1,x45::high,0.99999578909
2,x18::low,0.992694185457
3,x19::low,0.98997646518
4,x50::low,0.979195017679
5,x7::high,0.966904808229
6,x16::high,0.96548347355
7,x13::high,0.963486256383
8,x11::low,0.932433005276
9,x31::high,0.911599891354
10,x25::high,0.835242857339
11,x46::high,0.832997408191
12,x35::low,0.81331505055
13,x10::low,0.795848847541
14,x33::low,0.786682831089
15,x47::low,0.781090688002
16,x3::high,0.752013034677
17,x43::high,0.74289061481
18,x22::low,0.663978028353
19,x38::high,0.61789862941
20,x27::low,0.61149636672
21,x8::low,0.610412179091
22,x21::high,0.557301084897
23,x20::low,0.55619996652
24,x4::low,0.554004219119
25,x30::low,0.550791044882
