rank,node,score
1,Stripper Steam,0.390517668257
2,x49,0.389414708582
3,Compressor,0.388787201994
4,x46,0.38739234231
5,x50,0.386352857686
6,Stripper,0.385373201568
7,x48,0.377385469642
8,Separator,0.370795283546
9,Stream 13,0.337602340339
10,Stream 5,0.337451346845
11,Stream 4,0.337307763649
12,x19,0.337291991921
13,Condenser,0.337252464681
14,x5,0.337205470892
15,Stream 2,0.33715060086
16,x37,0.336630426689
17,D,0.336550584679
18,x52,0.336270508447
19,x40,0.335427772556
20,Stream 10,0.335353483206
21,Stream 11,0.332199222074
22,Stream 14,0.332032948182
23,x35,0.331806165632
24,G,0.331509688861
25,Reactor,0.32772106796
