rank,node,score
1,Stream 4,0.305460808043
2,x4,0.289738363073
3,x45,0.288871567089
4,Stream 2,0.280293375532
5,Stripper,0.280195825951
6,Condenser,0.280186967061
7,x24,0.280186456319
8,x19,0.280091072102
9,x50,0.279728844253
10,x42,0.279432427059
11,x2,0.279230972302
12,x18,0.278654761736
13,x25,0.276544231682
14,Stripper Steam,0.275785811478
15,B,0.271272503181
16,Separator,0.267506930699
17,Stream 13,0.25822658408
18,x52,0.255021854012
19,Stream 14,0.252286126716
20,x11,0.251473924992
21,A,0.251145252483
22,Stream 5,0.250155914609
23,D,0.247120831703
24,x34,0.245959673674
25,x49,0.244088884477
