rank,node,score
1,x19::low,0.970831691604
2,x50::low,0.951624769601
3,x38::low,0.861652054593
4,x11::high,0.859564387909
5,x22::high,0.835681313632
6,x18::low,0.81757442124
7,x46::high,0.762763040299
8,x52::high,0.754565599923
9,x50::fall,0.744194014747
10,x44::low,0.728067611869
11,x1::low,0.727116675355
12,x35::high,0.701319991231
13,x18::fall,0.672185676669
14,x13::high,0.605035969644
15,x7::high,0.571950482288
16,x33::low,0.55187384536
17,x20::high,0.54103386524
18,x30::low,0.535071255352
19,x21::high,0.513721672553
20,x19::fall,0.499715512136
21,x43::low,0.495156904312
22,x27::low,0.493027187766
23,x23::high,0.481445673374
24,x6::low,0.458335372226
25,x24::low,0.437335057193
