rank,node,score
1,x22::low,0.859040525751
2,x11::high,0.820806877292
3,x7::low,0.668296086668
4,x18::high,0.657920865185
5,x13::low,0.656828787339
6,x16::low,0.643655228066
7,x35::high,0.578267672071
8,x46::low,0.501563200878
9,x31::low,0.500156710294
10,x20::low,0.476251025786
11,x25::low,0.463069716815
12,x36::high,0.417056000044
13,x50::high,0.415182102541
14,x33::high,0.391121692754
15,x47::high,0.38098698373
16,x41::low,0.350850787819
17,x39::high,0.350358316953
18,x40::high,0.34756835884
19,x43::low,0.344401005539
20,x19::high,0.328535922339
21,x10::high,0.31385515927
22,x34::high,0.295614232282
23,x30::high,0.278021258809
24,x4::low,0.274392773583
25,x28::high,0.268086842367
