rank,node,score
1,x46,0.490354485906
2,Compressor,0.35934483406
3,x5,0.358738991166
4,Stream 8,0.358384375064
5,x52,0.308408845074
6,Stream 13,0.308379188657
7,x20,0.307552472458
8,x13,0.306719627806
9,Separator,0.305912853738
10,x4,0.302751012021
11,Stream 4,0.297029018134
12,x45,0.295366640289
13,Stream 2,0.294993409892
14,x42,0.292922460055
15,x2,0.291766812887
16,Stream 14,0.288079743293
17,x48,0.284123080091
18,x39,0.283609024397
19,A,0.269873900609
20,Stream 5,0.269260719906
21,Condenser,0.268439829578
22,G,0.266645355576
23,Stripper,0.266578181005
24,x12,0.262795802383
25,Stream 10,0.262546331839
