rank,node,score
1,Stream 4,0.625629278331
2,x4,0.57531390698
3,x45,0.573871244112
4,x50,0.523871237762
5,Stripper Steam,0.50234803521
6,x16,0.498778319099
7,x19,0.486609778435
8,Steam,0.484390585873
9,Stream 10,0.481030531396
10,x18,0.466684963265
11,Stripper,0.450421944085
12,x15,0.432495681416
13,x20,0.416606418077
14,C,0.395213828039
15,Separator,0.389230178463
16,Stream 14,0.388997694933
17,x49,0.388645091874
18,Stream 7,0.357810117918
19,Stream 8,0.356362228933
20,x46,0.354611663469
21,E,0.346999719427
22,x3,0.344167481465
23,x31,0.340122775497
24,x11,0.332078165561
25,x48,0.329410738469
