rank,node,score
1,Stream 1,0.292339732268
2,Stripper Steam,0.216101005374
3,Stream 4,0.215173267293
4,Stream 10,0.167093602027
5,Stripper,0.161019608241
6,Separator,0.137523960393
7,Stream 14,0.127440797052
8,Compressor,0.122806762985
9,Stream 8,0.120429954753
10,Stream 7,0.103753970405
