rank,node,score
1,Stream 14,0.614394227016
2,Condenser,0.579612733773
3,Separator,0.579608015417
4,Stream 7,0.529608001978
5,Stream 10,0.526689347516
6,Stream 4,0.483631947808
7,Stream 6,0.445791115179
8,Stream 11,0.443060388931
9,Stream 9,0.442571546733
10,Stream 5,0.440719559619
