rank,node,score
1,x51,0.812407545002
2,Stream 12,0.716611477475
3,Reactor,0.673652356129
4,x21,0.623652353993
5,Cooling Water,0.589779596139
6,x7,0.581663835105
7,x9,0.57637118987
8,x8,0.558970866735
9,Stream 6,0.309203184328
10,x2,0.184622907093
11,x42,0.183522091187
12,x3,0.163928120298
13,B,0.163689855569
14,x46,0.163411904406
15,x43,0.158797687233
16,x5,0.152079987644
17,A,0.151815515745
18,C,0.151623265759
19,Stream 2,0.151507522741
20,x6,0.146385832054
21,Stream 8,0.145825808276
22,Stream 3,0.143984247284
23,F,0.143587875474
24,x44,0.140247040153
25,x1,0.140229765023
