rank,node,score
1,x11,0.658065337188
2,Stream 14,0.614394227016
3,Condenser,0.579612733773
4,Separator,0.579608015417
5,Stream 7,0.529608001978
6,Stream 10,0.526689347516
7,x48,0.51488703653
8,x13,0.508926283289
9,x12,0.497403709794
10,E,0.493392069499
11,Stream 4,0.483631947808
12,G,0.479066678879
13,C,0.459209953438
14,D,0.456669011
15,x4,0.455831953518
16,A,0.452870642053
17,x38,0.452324042613
18,x14,0.449415935808
19,Stream 6,0.445791115179
20,Stream 11,0.443060388931
21,Stream 9,0.442571546733
22,Stream 5,0.440719559619
23,Stream 8,0.439293328552
24,H,0.436661022274
25,x45,0.434651956558
