source,target,relation,relation_zh,evidence,source_doc,source_url,count,weight,color
raw_cause:15楼厅门吊高太低与地坎卡住,category:human_obstruction,CATEGORIZED_AS,归类为,15楼厅门吊高太低与地坎卡住,local:fau_rep.xls,,2,0.002421307506053269,#dc2626
raw_cause:16楼厅门副门锁接触不良.已调整,category:door_system_fault,CATEGORIZED_AS,归类为,16楼厅门副门锁接触不良.已调整,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:17楼厅门异物卡住死机故障，已恢复正常,category:human_obstruction,CATEGORIZED_AS,归类为,17楼厅门异物卡住死机故障，已恢复正常,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1F厅门垃圾卡门,category:human_obstruction,CATEGORIZED_AS,归类为,1F厅门垃圾卡门,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1F厅门组件不良 需更换 现在电梯暂时处理 正常使用,category:door_system_fault,CATEGORIZED_AS,归类为,1F厅门组件不良 需更换 现在电梯暂时处理 正常使用,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1F厅门调整,category:door_system_fault,CATEGORIZED_AS,归类为,1F厅门调整,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1号梯负一楼厅门地坎被水泥卡住了. 2号梯底坑限位开关不良 已处理,category:human_obstruction,CATEGORIZED_AS,归类为,1号梯负一楼厅门地坎被水泥卡住了. 2号梯底坑限位开关不良 已处理,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1号梯，B板坏了，需要更换 2号梯装修卡门,category:unknown,CATEGORIZED_AS,归类为,1号梯，B板坏了，需要更换 2号梯装修卡门,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1层厅门卡住了，厅门系统，使用不良,category:human_obstruction,CATEGORIZED_AS,归类为,1层厅门卡住了，厅门系统，使用不良,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1层厅门卡住了，已修复,category:human_obstruction,CATEGORIZED_AS,归类为,1层厅门卡住了，已修复,local:fau_rep.xls,,2,0.002421307506053269,#dc2626
raw_cause:1层厅门回路不良 已修复 厅门系统 使用环境不良,category:door_system_fault,CATEGORIZED_AS,归类为,1层厅门回路不良 已修复 厅门系统 使用环境不良,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1层厅门回路不通，已修复,category:door_system_fault,CATEGORIZED_AS,归类为,1层厅门回路不通，已修复,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼卡垃圾,category:human_obstruction,CATEGORIZED_AS,归类为,1楼卡垃圾,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼厅外锁梯开关不良,category:unknown,CATEGORIZED_AS,归类为,1楼厅外锁梯开关不良,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼厅门卡住死机了,category:human_obstruction,CATEGORIZED_AS,归类为,1楼厅门卡住死机了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼厅门地坎有东西卡住.已清理,category:human_obstruction,CATEGORIZED_AS,归类为,1楼厅门地坎有东西卡住.已清理,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼厅门地坎有水泥看卡住了,category:human_obstruction,CATEGORIZED_AS,归类为,1楼厅门地坎有水泥看卡住了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼厅门接地,category:door_system_fault,CATEGORIZED_AS,归类为,1楼厅门接地,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼厅门被撞导致滑块脱离地坎,category:human_obstruction,CATEGORIZED_AS,归类为,1楼厅门被撞导致滑块脱离地坎,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼厅门锁不良 调整修复,category:door_system_fault,CATEGORIZED_AS,归类为,1楼厅门锁不良 调整修复,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼外呼接地，外呼接头破皮，以处理,category:unknown,CATEGORIZED_AS,归类为,1楼外呼接地，外呼接头破皮，以处理,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼轿门保护模板撞破 挡门死机,category:human_obstruction,CATEGORIZED_AS,归类为,1楼轿门保护模板撞破 挡门死机,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼门卡住,category:human_obstruction,CATEGORIZED_AS,归类为,1楼门卡住,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:1楼门锁触点被撞弯了，已处理,category:door_system_fault,CATEGORIZED_AS,归类为,1楼门锁触点被撞弯了，已处理,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:21楼厅门副门锁线头腐烂断了，以恢复正常,category:door_system_fault,CATEGORIZED_AS,归类为,21楼厅门副门锁线头腐烂断了，以恢复正常,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:220V跳闸,category:power_supply,CATEGORIZED_AS,归类为,220V跳闸,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:25F厅门地坎清理,category:human_obstruction,CATEGORIZED_AS,归类为,25F厅门地坎清理,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:26层厅门球掉了，已恢复,category:door_system_fault,CATEGORIZED_AS,归类为,26层厅门球掉了，已恢复,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:26层厅门门球掉，已正常,category:door_system_fault,CATEGORIZED_AS,归类为,26层厅门门球掉，已正常,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:2台电梯正常运 无故障,category:false_duplicate_normal,CATEGORIZED_AS,归类为,2台电梯正常运 无故障,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:2楼主门锁断了 现已临时处理电梯正常运行,category:door_system_fault,CATEGORIZED_AS,归类为,2楼主门锁断了 现已临时处理电梯正常运行,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:2楼挡门死机 已修复 现已正常,category:human_obstruction,CATEGORIZED_AS,归类为,2楼挡门死机 已修复 现已正常,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:2楼搬东西挡门死机,category:human_obstruction,CATEGORIZED_AS,归类为,2楼搬东西挡门死机,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:30故障代码厅门锁瞬时断开故障,category:door_system_fault,CATEGORIZED_AS,归类为,30故障代码厅门锁瞬时断开故障,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:30楼厅门导轨有污垢，已修复,category:door_system_fault,CATEGORIZED_AS,归类为,30楼厅门导轨有污垢，已修复,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:3号楼电梯轿厢地坎被推车撞变形 厅门滑块拖槽 地坎要重整 已做好安全保护 停梯,category:human_obstruction,CATEGORIZED_AS,归类为,3号楼电梯轿厢地坎被推车撞变形 厅门滑块拖槽 地坎要重整 已做好安全保护 停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:3楼卡石头,category:unknown,CATEGORIZED_AS,归类为,3楼卡石头,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:3楼厅门吊高太底.已调整,category:door_system_fault,CATEGORIZED_AS,归类为,3楼厅门吊高太底.已调整,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:3楼厅门掉高不够,category:door_system_fault,CATEGORIZED_AS,归类为,3楼厅门掉高不够,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:4号楼好了，1楼厅门被撞，已调整好,category:door_system_fault,CATEGORIZED_AS,归类为,4号楼好了，1楼厅门被撞，已调整好,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:5#1北，光幕动作,category:door_system_fault,CATEGORIZED_AS,归类为,5#1北，光幕动作,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:5层厅门自闭不良，已正常,category:door_system_fault,CATEGORIZED_AS,归类为,5层厅门自闭不良，已正常,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:5楼厅门回路接地,category:door_system_fault,CATEGORIZED_AS,归类为,5楼厅门回路接地,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:6楼厅门副门锁压量过小接触不良.已调整,category:door_system_fault,CATEGORIZED_AS,归类为,6楼厅门副门锁压量过小接触不良.已调整,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
