rank,node,score
1,Steam,0.528922892299
2,x50,0.524946396207
3,x19,0.524132978939
4,Stripper Steam,0.521627021248
5,x16,0.504695239772
6,x18,0.504084954851
7,x15,0.503434813954
8,x4,0.474042344751
9,x45,0.473963006334
10,Stripper,0.456236980445
11,x49,0.449741669747
12,Reactor,0.448169054085
13,Stream 4,0.432341972877
14,x14,0.429658183622
15,x48,0.427153184619
16,x46,0.424614565183
17,x5,0.422529029635
18,x20,0.422374801315
19,Condenser,0.421927827694
20,x11,0.42161688823
21,x3,0.420294099792
22,x43,0.41943095644
23,G,0.417970786976
24,H,0.417913178485
25,E,0.417499072591
