rank,node,score
1,Reactor,0.644328122205
2,Stream 13,0.633577399951
3,Condenser,0.623440600829
4,x14,0.612970509486
5,x4,0.611919203074
6,x45,0.611646094571
7,x22,0.60895617314
8,x52,0.606632865628
9,x48,0.602952004263
10,x11,0.599820317582
11,Stripper,0.599818029381
12,G,0.593308970123
13,H,0.593079735932
14,x5,0.591718784317
15,F,0.589956939438
16,x17,0.589538782915
17,E,0.589449145714
18,D,0.588737603156
19,x46,0.587596966995
20,Separator,0.587070590099
21,x49,0.584872667199
22,B,0.584813066763
23,C,0.583981226179
24,A,0.583006585079
25,x13,0.58052770075
