rank,node,score
1,x1,0.267375785956
2,x44,0.265068135844
3,Steam,0.212449727808
4,x19,0.192368194192
5,x50,0.19229650749
6,Stripper Steam,0.19138533735
7,x4,0.183915370567
8,x45,0.183912053794
9,x16,0.179315828443
10,x18,0.178540411717
11,x15,0.17837805618
12,Reactor,0.163136952149
13,Stream 1,0.160806393598
14,x20,0.156781037576
15,Stripper,0.155239645718
16,A,0.154326794139
17,x46,0.154178168231
18,Condenser,0.153729218957
19,x5,0.152962554287
20,Stream 4,0.149590569914
21,B,0.149365114337
22,x11,0.148717164991
23,C,0.148484071944
24,x49,0.147204312738
25,Separator,0.145919093198
