rank,node,score
1,Stream 1,0.369156407063
2,x1,0.351329440524
3,x44,0.337452847259
4,x23,0.231045963291
5,Compressor,0.196626346778
6,Stream 4,0.190873362542
7,x20,0.187130171802
8,Steam,0.178625117879
9,x19,0.175781598305
10,Stripper Steam,0.172796240482
11,x52,0.171971666392
12,Stream 13,0.171946603421
13,x22,0.171612811362
14,x29,0.17143244174
15,x50,0.168380408188
16,Stream 8,0.16755522082
17,x45,0.166271291675
18,x4,0.16625763244
19,x46,0.16380401253
20,A,0.159415261718
21,x25,0.158427608585
22,x6,0.155464421913
23,x16,0.153738292368
24,Stream 14,0.149421223686
25,x18,0.148666994635
