rank,node,score
1,x42,0.700549046682
2,x2,0.698923928639
3,Stream 2,0.682953715354
4,Stream 8,0.679625039919
5,x26,0.679497648416
6,Stripper,0.679411591148
7,x39,0.677245361876
8,x28,0.67691504357
9,Stream 3,0.676097478811
10,Stream 4,0.673575596743
11,x25,0.673137134787
12,C,0.67297472643
13,x6,0.672969347949
14,A,0.672909928249
15,Stream 5,0.671753124776
16,x23,0.671543335884
17,Stream 6,0.671189048857
18,F,0.670885509218
19,x49,0.670766175621
20,x16,0.670761572753
21,x18,0.670621869624
22,x5,0.67014191956
23,x15,0.668597984116
24,D,0.665240592563
25,x27,0.662757308576
