rank,node,score
1,Condenser,0.682518029624
2,Separator,0.648336694197
3,x11,0.633231246513
4,x22,0.598456533878
5,Stream 13,0.598414632775
6,x48,0.59782326371
7,Reactor,0.592019955966
8,x52,0.587306579771
9,x13,0.579092385233
10,x12,0.578822243433
11,x14,0.575310214008
12,C,0.569265807262
13,D,0.562560687634
14,H,0.562503450724
15,Cooling Water,0.556676351224
16,E,0.555129254977
17,Stream 10,0.554228884194
18,G,0.549714564043
19,x17,0.546368590714
20,B,0.543071121114
21,x41,0.542652549509
22,x37,0.541584837496
23,F,0.540502104184
24,Stripper,0.540036450307
25,x40,0.538921740196
