rank,node,score
1,Condenser,0.682518029624
2,Separator,0.648336694197
3,Stream 13,0.598414632775
4,Reactor,0.592019955966
5,Stream 10,0.554228884194
6,Stripper,0.540036450307
7,Stream 14,0.536229383297
8,Stream 11,0.526131939196
9,Stream 5,0.519289057841
10,Stream 4,0.51727848385
