rank,node,score
1,x19,0.76613407542
2,x50,0.758560676938
3,Stripper Steam,0.757510913036
4,Stripper,0.718962682606
5,x42,0.715433774389
6,x2,0.715427860414
7,x18,0.715302945957
8,x45,0.715113761828
9,Steam,0.715072197283
10,x4,0.714340978248
11,x16,0.71251411316
12,x15,0.710194204206
13,x49,0.708894080916
14,Stream 2,0.697681121708
15,A,0.695742977547
16,C,0.695388934185
17,x26,0.693574670846
18,x28,0.692649367294
19,Stream 6,0.69216053829
20,x39,0.690803174882
21,x5,0.690330997542
22,x6,0.68873449978
23,Stream 8,0.688358926893
24,Stream 3,0.687839595639
25,F,0.687341494127
