rank,node,score
1,x24,0.609391025286
2,Stream 4,0.563065816273
3,x25,0.550026093242
4,x23,0.549942363687
5,Stream 9,0.537222896626
6,x27,0.531184808964
7,Stream 8,0.530503827066
8,x30,0.529471567511
9,Stream 3,0.528219224497
10,Stream 14,0.526323081084
11,Stream 7,0.526156580756
12,Stream 1,0.513624183484
13,Stream 5,0.513314057831
14,x31,0.51303387488
15,x28,0.507503697896
16,x29,0.504908203579
17,x8,0.502970985274
18,x9,0.502323375391
19,x7,0.501507301361
20,x39,0.500921049848
21,Stream 2,0.49702494819
22,x26,0.495379535953
23,x52,0.494752846757
24,x22,0.488423217102
25,Stream 13,0.487280816886
