rank,node,score
1,Stream 4,0.663804695129
2,x25,0.662668078088
3,Stream 8,0.662380055787
4,x4,0.662357473177
5,x23,0.661575266434
6,x45,0.661140620689
7,x6,0.659696157743
8,Stripper Steam,0.659455558765
9,x28,0.658671725182
10,x19,0.658074415246
11,x42,0.657310357897
12,x2,0.657246910969
13,Stream 3,0.654834573381
14,Stream 6,0.654480329634
15,x50,0.653998833307
16,Stream 1,0.652393991055
17,x18,0.648170479039
18,Stream 2,0.648004614208
19,x5,0.647269413739
20,x39,0.646604516534
21,A,0.644452336765
22,x26,0.642887549565
23,x27,0.641877953355
24,C,0.641298308671
25,Stream 5,0.640417486294
