rank,node,score
1,x22,0.700127640011
2,x42,0.70010263274
3,Stream 13,0.700022727129
4,x2,0.700015799018
5,x50,0.699996509207
6,Condenser,0.699724384191
7,x5,0.699601911161
8,Stripper Steam,0.699168625866
9,x52,0.699144528555
10,x16,0.698508100076
11,Stream 8,0.697436001094
12,x39,0.696651506031
13,C,0.696337036805
14,Stream 2,0.696135221511
15,x18,0.696029298588
16,Stripper,0.695568098978
17,x28,0.695218736306
18,x15,0.693747908306
19,A,0.693127037238
20,x26,0.693086915648
21,x49,0.692015270232
22,x19,0.690480701176
23,Stream 3,0.690185747739
24,Stream 5,0.689098767647
25,x25,0.686903975534
