rank,node,score
1,x2,0.755523117123
2,x42,0.754767712985
3,Stream 2,0.728767907996
4,Stream 3,0.727895114183
5,Stream 13,0.727819904242
6,Stripper,0.727697605555
7,x22,0.72769716712
8,Condenser,0.727256311595
9,x52,0.726308778812
10,x26,0.72593941184
11,D,0.722373556578
12,x39,0.720512663248
13,x27,0.717404683338
14,x38,0.7173039272
15,C,0.716464458613
16,F,0.715921253282
17,Stream 6,0.714569616212
18,x37,0.714441034258
19,Stream 8,0.7139916488
20,Stream 5,0.713719826724
21,x28,0.713391456527
22,x8,0.713058291554
23,x49,0.712148068161
24,x9,0.710581531203
25,A,0.710069537463
