rank,node,score
1,Reactor,0.650535874668
2,x8,0.60345117929
3,x7,0.603126349223
4,x21,0.603119506471
5,x9,0.602837739259
6,Condenser,0.602769455984
7,x42,0.594104140594
8,x2,0.59275737844
9,x19,0.588265326418
10,x51,0.585628415122
11,Stripper Steam,0.582671122201
12,Stream 13,0.579233463466
13,x3,0.578865932894
14,x22,0.577584336553
15,x50,0.57446163595
16,x43,0.573134773629
17,x52,0.572374950287
18,Stripper,0.562428554221
19,Steam,0.551261913767
20,x16,0.550917490877
21,x49,0.550521168661
22,x37,0.549587325432
23,Stream 3,0.547613250278
24,Separator,0.547531000219
25,D,0.547511539898
