rank,node,score
1,Compressor,0.636022040429
2,x46,0.6286122043
3,x48,0.583711808106
4,x49,0.580215457634
5,x5,0.578633426937
6,Stream 8,0.578447449921
7,x42,0.57833945411
8,Stream 14,0.578309062688
9,Stream 5,0.578291392138
10,x16,0.578108489937
11,x52,0.5779407124
12,x11,0.577753780425
13,x18,0.577670448418
14,Stream 10,0.577386698624
15,x22,0.577377028863
16,Stream 13,0.577242217382
17,x2,0.576973415945
18,x15,0.57612340528
19,Stream 2,0.574024039953
20,D,0.573746000258
21,x26,0.573566575704
22,Stream 11,0.573194635791
23,x40,0.572162216694
24,Separator,0.571385810854
25,Stream 4,0.57134822383
