rank,node,score
1,x45,0.501808995028
2,x4,0.501624420973
3,Stream 4,0.494211216041
4,x23,0.451603206396
5,x25,0.451417051203
6,x50,0.451022786526
7,Stripper Steam,0.450875915472
8,x19,0.450742846733
9,Stream 1,0.445618291036
10,x21,0.440026239503
11,x8,0.439897756627
12,x9,0.439583632919
13,x7,0.439106493151
14,Steam,0.438977167851
15,x24,0.431996275175
16,Stream 8,0.430038561835
17,Stream 13,0.424050136165
18,x52,0.423605406429
19,x22,0.422593077101
20,x51,0.421100068624
21,x6,0.421002013459
22,Stream 3,0.420579565791
23,Stream 14,0.417441410747
24,C,0.415301484815
25,x27,0.412570166311
