rank,node,score
1,Stream 4,0.423455278809
2,x45,0.419791821684
3,x4,0.40502736888
4,x23,0.355008868675
5,x25,0.345674838532
6,Stream 1,0.34175601735
7,x8,0.332279837756
8,x9,0.330437114427
9,x7,0.329313458093
10,Stream 8,0.323986853778
11,x24,0.323088066894
12,x52,0.322701693452
13,Stream 13,0.32170379523
14,x22,0.321471881251
15,x21,0.320639798677
16,x31,0.317991104274
17,Stream 5,0.317751553519
18,x29,0.317408578474
19,Stream 2,0.317007058807
20,x26,0.315377492018
21,C,0.314908240318
22,D,0.314288147297
23,A,0.313157040507
24,Stream 14,0.312532736654
25,x49,0.312380705679
